index,c1D,c2D,tot_c2D,f1D,f2D,area,mass,n_frags,lat_min,lat_max,lon_min,lon_max,drag,heat_flux,heat_flux_CT,heat_flux_TR,heat_flux_FM,density
source_0829_133953_300_193,9.699718866380298e-06,0.0,0.0,8.777180615870961e-06,0.0,17.163580639699056,142.70074195834303,12,-54.20811998042941,-38.61100495650353,-117.14260857571041,-111.7669601470098,1.0,1.0,1.1313389899206898,0.9474891036634397,0.9589181813286509,0.8796532382181508
source_0829_133953_300_194,4.481234709209488e-06,0.0,0.0,4.225157683057645e-06,0.0,25.516202713087875,219.71671970905356,20,-52.49694509720599,-39.02366600422047,-116.40234344063002,-111.87798438824521,1.0,1.0,0.7990080147072791,1.3529986818015576,1.0090832426293908,1.0838554509742917
source_0829_133953_300_195,1.5484454802786437e-06,0.0,0.0,1.505152592118364e-06,0.0,20.921848573623517,196.68698723079268,15,-52.564122162579096,-39.269250581690926,-116.43043476123489,-111.94614980007849,1.0,1.0,0.8725893388535283,0.7249882261307731,1.0173087852190554,1.0746334073556023
source_0829_133953_300_196,2.4545148887267295e-06,0.0,0.0,2.3241805705565e-06,0.0,27.28186131815145,270.8702808257713,22,-52.63895227142675,-39.88722370433882,-116.46181504049069,-112.11830539438284,1.0,1.0,0.7094633573864271,0.79551287444197,1.0624474159444044,1.0644967605035398
source_0829_133953_300_197,1.1014485807115967e-05,0.0,0.0,7.446113520326314e-06,0.0,18.759570589384353,141.5598444455842,13,-52.717618826724035,-37.58970279334031,-116.49490580090941,-111.48947427901795,1.0,1.0,1.1225763455118947,1.272952369660936,0.9069361377809846,1.0539640437845001
source_0829_133953_300_198,2.41975652959625e-06,0.0,0.0,2.2239850798744243e-06,0.0,25.516202713087875,230.2808519095338,20,-52.84558437740411,-39.694584347464655,-116.54896085711496,-112.06470475175895,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,1.0371753502705519
source_0829_133953_300_199,2.3539526810699925e-06,0.0,0.0,2.3246042694102798e-06,0.0,18.759570589384353,161.61682161609804,13,-54.021345734284864,-39.482496199862105,-117.0592003810771,-112.00706401540579,1.0,1.0,0.9938206167474818,0.6905031388051239,1.0320851069791188,0.8991347603431042
source_0829_133953_300_2,1.2386993806620503e-05,0.0,0.0,1.2269894314131946e-05,0.0,18.759570589384353,153.09753990928974,13,-52.763439944818366,-38.16834443319974,-116.51422894309543,-111.64509170691424,1.0,1.0,1.04356292496131,1.1515146156983673,0.9568967987342318,1.0479175483502456
source_0829_133953_300_20,8.181080390311292e-06,0.0,0.0,4.422807300508147e-06,0.0,18.759570589384353,133.1114835432922,13,-51.78630323145539,-37.00667475773144,-116.10971379653138,-111.33379931809412,1.0,1.0,1.1516752162763595,1.2387540989748813,0.909627808414396,1.1882874764141096
source_0829_133953_300_200,2.9227081641189485e-05,0.0,0.0,9.92493310436604e-06,0.0,15.12956827694223,94.65647786472155,9,-52.92698911941659,-37.725021440443506,-116.58514217868508,-111.52660019646419,1.0,1.0,1.2824159726700388,0.5752393986539208,1.028473564891038,0.9964301874010285
